Odcinki pilotażowe (wiosna 1999)[edytuj | edytuj kod];;;;;
;;;;;
Nr;Tytuł;Opis odcinka;Data premiery[1];Reżyseria;Scenariusz
28;Gość w dom - nie ma kołaczy;"Do Wrocławia przyjeżdża rodzina Boczka. ""Tymczasowo"" zatrzymują się u Kiepskich.";26.02.2000;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
29;Złote kierpce;Do Kiepskich przyjeżdża rodzina Ferdka ze wsi, aby wziąć udział w Festiwalu Piosenki Ludowej.;04.03.2000;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
30;Kiepska bajka o złotym jajku;Do Babki Kiepskiej przychodzi baba ze świeżymi jajami. Okazuje się, że jedno z nich jest złote. Ferdek nie może się zastanowić, jakie życzenie wymyślić.;29.04.2000;Okił Khamidow;Michał Kowal
;;;;;Franciszek Loy
31;Perpetum mobile;Polska Akademia Nauk ogłasza konkurs na zbudowanie perpetuum mobile. Milion dolarów nagrody kusi Ferdka.;06.05.2000;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
32;Okrutna pizza;Walduś i Ferdek postanawiają otworzyć własną pizzerię.;13.05.2000;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
33;Operacja Bobas;Mieszkanie Ferdka wynajmuje bezrobotny, który podaje się za agenta. Wmawia Ferdkowi, że za cały dobrobyt w jego domu zapłaci Urząd Ochrony Państwa.;20.05.2000;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
34;Zagadka nieśmiertelności;Polskę obiega plotka o zatruciu wszystkich browarów w kraju. Ferdek traci sens życia. Rodzina szuka sposobów, aby pomóc Ferdkowi.;27.05.2000;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
35;Ferdewalduś;Mariolka i Waldek podejrzewają, że Halinka jest w ciąży.;03.06.2000;Okił Khamidow;Michał Kowal
;;;;;Franciszek Loy
36;Doktor Śledzik i mister Zgredzik;U Paździochów pojawia się szalony naukowiec, który przeprowadza na Babce tajemniczy eksperyment.;10.06.2000;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
37;Powóz zajechał;Ferdek dostaje zaproszenie na zjazd arystokratycznej rodziny Badziwiłłów.;17.06.2000;Okił Khamidow;Robert Lewandowski
38;Ciemna randka;"Aby znaleźć dziewczynę dla Waldusia, Ferdek organizuje własną wersję programu ""Ciemna randka"".";24.06.2000;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
;;;;;
Sezon 2 (2000/2001)[edytuj | edytuj kod];;;;;
;;;;;
Nr;Tytuł;Opis odcinka;Data premiery;Reżyseria;Scenariusz
39;Żłopuś;Ferdkowi znikają puszki z piwem. Okazuje się, że w domu Kiepskich zagnieździł się potwór – Żłopuś, po ucieczce z Instytutu Genetyki.;02.09.2000;Okił Khamidow;Patrick Yoka
40;Rybny targ;Boczek znajduje szklaną rybę przy śmietniku.;06.09.2000;Okił Khamidow;Grzegorz Pawelczyk
41;Experyment sen;Ferdek poddaje się trzydniowemu eksperymentowi.;09.09.2000;Okił Khamidow;Michał Kowal
;;;;;Franciszek Loy
